 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-08  5.00000000e-08  5.00000000e-08  5.90349146e-02 
 5.04199974e-08  5.04199974e-08  5.04199974e-08  5.95308023e-02 
 5.12599922e-08  5.12599922e-08  5.12599922e-08  6.05225778e-02 
 5.29399819e-08  5.29399819e-08  5.29399819e-08  6.25061281e-02 
 5.62999612e-08  5.62999612e-08  5.62999612e-08  6.64732275e-02 
 6.30199198e-08  6.30199198e-08  6.30199198e-08  7.44074210e-02 
 7.64598370e-08  7.64598370e-08  7.64598370e-08  9.02757863e-02 
 1.03339671e-07  1.03339671e-07  1.03339671e-07  1.22012430e-01 
 1.52832178e-07  1.52832178e-07  1.52832178e-07  1.80447233e-01 
 2.03882413e-07  2.03882413e-07  2.03882413e-07  2.40720793e-01 
 2.61197361e-07  2.61197361e-07  2.61197361e-07  3.08390405e-01 
 3.20003858e-07  3.20003858e-07  3.20003858e-07  3.77820458e-01 
 3.81372192e-07  3.81372192e-07  3.81372192e-07  4.50274516e-01 
 4.45567392e-07  4.45567392e-07  4.45567392e-07  5.26065389e-01 
 5.13228287e-07  5.13228287e-07  5.13228287e-07  6.05947178e-01 
 5.93247546e-07  5.93247546e-07  5.93247546e-07  7.00418428e-01 
 6.82931625e-07  6.82931625e-07  6.82931625e-07  8.06298622e-01 
 7.88836147e-07  7.88836147e-07  7.88836147e-07  9.31326564e-01 
 9.09244240e-07  9.09244240e-07  9.09244240e-07  1.07347438e+00 
 1.04983210e-06  1.04983210e-06  1.04983210e-06  1.23944176e+00 
 1.21070349e-06  1.21070349e-06  1.21070349e-06  1.42934936e+00 
 1.39743362e-06  1.39743362e-06  1.39743362e-06  1.64977610e+00 
 1.61192790e-06  1.61192790e-06  1.61192790e-06  1.90296762e+00 
 1.86019075e-06  1.86019075e-06  1.86019075e-06  2.19600660e+00 
 2.14597552e-06  2.14597552e-06  2.14597552e-06  2.53331624e+00 
 2.47627023e-06  2.47627023e-06  2.47627023e-06  2.92313444e+00 
 2.85691904e-06  2.85691904e-06  2.85691904e-06  3.37234429e+00 
