 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-08  5.00000000e-08  5.00000000e-08  5.24755087e-02 
 5.04199978e-08  5.04199978e-08  5.04199978e-08  5.29162988e-02 
 5.12599935e-08  5.12599935e-08  5.12599935e-08  5.37978788e-02 
 5.29399849e-08  5.29399849e-08  5.29399849e-08  5.55610385e-02 
 5.62999677e-08  5.62999677e-08  5.62999677e-08  5.90873571e-02 
 6.30199333e-08  6.30199333e-08  6.30199333e-08  6.61399902e-02 
 7.64598645e-08  7.64598645e-08  7.64598645e-08  8.02452402e-02 
 1.03339727e-07  1.03339727e-07  1.03339727e-07  1.08455676e-01 
 1.57099451e-07  1.57099451e-07  1.57099451e-07  1.64876285e-01 
 2.13618384e-07  2.13618384e-07  2.13618384e-07  2.24192289e-01 
 2.77265932e-07  2.77265932e-07  2.77265932e-07  2.90989220e-01 
 3.42817496e-07  3.42817496e-07  3.42817496e-07  3.59783840e-01 
 4.11059145e-07  4.11059145e-07  4.11059145e-07  4.31401038e-01 
 4.82352783e-07  4.82352783e-07  4.82352783e-07  5.06220528e-01 
 5.57345937e-07  5.57345937e-07  5.57345937e-07  5.84921750e-01 
 6.43410342e-07  6.43410342e-07  6.43410342e-07  6.75240678e-01 
 7.41541315e-07  7.41541315e-07  7.41541315e-07  7.78221384e-01 
 8.55667739e-07  8.55667739e-07  8.55667739e-07  8.97986272e-01 
 9.86905034e-07  9.86905034e-07  9.86905034e-07  1.03570496e+00 
 1.13891650e-06  1.13891650e-06  1.13891650e-06  1.19522040e+00 
 1.31390869e-06  1.31390869e-06  1.31390869e-06  1.37884632e+00 
 1.51616111e-06  1.51616111e-06  1.51616111e-06  1.59107091e+00 
 1.74921293e-06  1.74921293e-06  1.74921293e-06  1.83560437e+00 
 2.01834424e-06  2.01834424e-06  2.01834424e-06  2.11798208e+00 
 2.32865935e-06  2.32865935e-06  2.32865935e-06  2.44355259e+00 
