 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.00000000e-07  1.00000000e-07  1.18250687e-01  1.00000000e-07  7.44253754e-04  1.00000000e-07 -4.66779029e-01 
 1.00780098e-07  1.00780098e-07  1.00780098e-07  1.19173095e-01  1.00780098e-07  7.50060161e-04  1.00780098e-07 -4.70420110e-01 
 1.02340294e-07  1.02340294e-07  1.02340294e-07  1.21017908e-01  1.02340294e-07  7.61672987e-04  1.02340294e-07 -4.77702267e-01 
 1.05460685e-07  1.05460685e-07  1.05460685e-07  1.24707523e-01  1.05460685e-07  7.84898734e-04  1.05460685e-07 -4.92266537e-01 
 1.11701468e-07  1.11701468e-07  1.11701468e-07  1.32086709e-01  1.11701468e-07  8.31350610e-04  1.11701468e-07 -5.21394902e-01 
 1.24183033e-07  1.24183033e-07  1.24183033e-07  1.46844902e-01  1.24183033e-07  9.24255890e-04  1.24183033e-07 -5.79650928e-01 
 1.49146164e-07  1.49146164e-07  1.49146164e-07  1.76360576e-01  1.49146164e-07  1.11007255e-03  1.49146164e-07 -6.96160168e-01 
 1.73330364e-07  1.73330364e-07  1.73330364e-07  2.04954358e-01  1.73330364e-07  1.29009889e-03  1.73330364e-07 -8.09030360e-01 
 2.05312370e-07  2.05312370e-07  2.05312370e-07  2.42766374e-01  2.05312370e-07  1.52818355e-03  2.05312370e-07 -9.58288317e-01 
 2.37590275e-07  2.37590275e-07  2.37590275e-07  2.80926643e-01  2.37590275e-07  1.76848450e-03  2.37590275e-07 -1.10892096e+00 
 2.77284450e-07  2.77284450e-07  2.77284450e-07  3.27852546e-01  2.77284450e-07  2.06401634e-03  2.77284450e-07 -1.29415479e+00 
 3.19967793e-07  3.19967793e-07  3.19967793e-07  3.78309511e-01  3.19967793e-07  2.38182610e-03  3.19967793e-07 -1.49332702e+00 
 3.71063966e-07  3.71063966e-07  3.71063966e-07  4.38707800e-01  3.71063966e-07  2.76230689e-03  3.71063966e-07 -1.73174132e+00 
 4.27957250e-07  4.27957250e-07  4.27957250e-07  5.05953852e-01  4.27957250e-07  3.18599502e-03  4.27957250e-07 -1.99718626e+00 
 4.94970437e-07  4.94970437e-07  4.94970437e-07  5.85154918e-01  4.94970437e-07  3.68510063e-03  4.94970437e-07 -2.30982205e+00 
 5.70891101e-07  5.70891101e-07  5.70891101e-07  6.74875123e-01  5.70891101e-07  4.25061830e-03  5.70891101e-07 -2.66398075e+00 
 6.59476660e-07  6.59476660e-07  6.59476660e-07  7.79550963e-01  6.59476660e-07  4.91056846e-03  6.59476660e-07 -3.07717485e+00 
 7.60729484e-07  7.60729484e-07  7.60729484e-07  8.99179995e-01  7.60729484e-07  5.66501210e-03  7.60729484e-07 -3.54939472e+00 
 8.78266414e-07  8.78266414e-07  8.78266414e-07  1.03802852e+00  8.78266414e-07  6.54095567e-03  8.78266414e-07 -4.09748099e+00 
 1.01323165e-06  1.01323165e-06  1.01323165e-06  1.19743883e+00  1.01323165e-06  7.54700258e-03  1.01323165e-06 -4.72673221e+00 
 1.16947541e-06  1.16947541e-06  1.16947541e-06  1.38194600e+00  1.16947541e-06  8.71195351e-03  1.16947541e-06 -5.45504999e+00 
 1.34932382e-06  1.34932382e-06  1.34932382e-06  1.59428016e+00  1.34932382e-06  1.00532862e-02  1.34932382e-06 -6.29321117e+00 
 1.55723264e-06  1.55723264e-06  1.55723264e-06  1.83967944e+00  1.55723264e-06  1.16044094e-02  1.55723264e-06 -7.26189252e+00 
 1.79686639e-06  1.79686639e-06  1.79686639e-06  2.12243891e+00  1.79686639e-06  1.33928980e-02  1.79686639e-06 -8.37804835e+00 
 2.07369665e-06  2.07369665e-06  2.07369665e-06  2.44897429e+00  2.07369665e-06  1.54598994e-02  2.07369665e-06 -9.66700378e+00 
 2.39300985e-06  2.39300985e-06  2.39300985e-06  2.82546650e+00  2.39300985e-06  1.78452972e-02  2.39300985e-06 -1.11531572e+01 
 2.76178304e-06  2.76178304e-06  2.76178304e-06  3.26006833e+00  2.76178304e-06  2.06017555e-02  2.76178304e-06 -1.28686908e+01 
 3.18735907e-06  3.18735907e-06  3.18735907e-06  3.76133378e+00  3.18735907e-06  2.37848758e-02  3.18735907e-06 -1.48473702e+01 
 3.67883872e-06  3.67883872e-06  3.67883872e-06  4.33984755e+00  3.67883872e-06  2.74636707e-02  3.67883872e-06 -1.71309772e+01 
